entry,family,generation,params_B,release,n_obs,eci_A,eci_A_lo,eci_A_hi,eci_B,eci_B_lo,eci_B_hi,eci_C,eci_C_lo,eci_C_hi,eci_published
Qwen3.5-4B [Thinking (default)],Qwen,Qwen3.5,4.0,2026-02,19,140.90086500596996,139.23080983848047,143.3162826458588,141.85306935932263,141.42394060512967,142.0980006951978,140.2012596420176,138.0382143339513,142.84102225051222,
Qwen3.5-9B [Thinking (default)],Qwen,Qwen3.5,9.0,2026-02,19,143.48675075988476,141.9598275346341,146.6011272992527,144.60458870732955,144.34693301305762,144.8936598261557,142.5447741613654,140.1302349226713,145.63946065156028,
Qwen3.6-27B [Thinking (default)],Qwen,Qwen3.6,27.0,2026-04,16,148.56261930410636,146.92930432751683,152.64259571277455,150.51829029039408,150.02046972366747,150.90663933545912,146.63586972354088,143.6432418518434,150.83635677991742,
Qwen3.6-35B-A3B [Thinking (default)],Qwen,Qwen3.6,35.0,2026-04,14,145.8021064531364,143.51550356170426,149.69832594825192,148.66660694136365,148.18180132365006,149.1668362012376,145.3396753641437,142.56156559379326,149.50555293525784,143.5
SmolLM-1.7B [Pretrained (PT)],SmolLM,SmolLM,1.71,2024-07,6,89.54036563341083,71.11096414463975,97.78810044924455,94.40642990607157,68.80057654577048,96.65212216521954,94.21499429490319,83.55645737834692,99.91651777446238,
SmolLM-1.7B-Instruct [Instruct/chat],SmolLM,SmolLM,1.71,2024-07,6,88.86402774131969,70.11279367268313,96.60225520014593,93.82839653967805,66.74372149016975,96.5588057021556,93.6763668890096,81.58019639563585,100.08084119580381,
SmolLM-135M [Pretrained (PT)],SmolLM,SmolLM,0.13,2024-07,6,88.50616497956918,78.20100944311984,97.48742919965134,93.3779182317674,81.94570268614046,96.18254716701315,93.35912183811914,85.37107826393148,99.52864236841674,
SmolLM-135M-Instruct [Instruct/chat],SmolLM,SmolLM,0.135,2024-07,6,78.26697903870816,70.69078291535331,88.04930170678824,84.79193204563154,78.10930296963687,85.48167747657897,85.35595329524243,82.82410482129691,91.8576702685761,
SmolLM-360M [Pretrained (PT)],SmolLM,SmolLM,0.36,2024-07,6,88.13637349194323,76.94219190776388,95.90114621546411,93.13435751665197,81.45149848807729,95.4665767917153,93.06626445383228,84.66471483732995,99.43620588721885,
SmolLM-360M-Instruct [Instruct/chat],SmolLM,SmolLM,0.362,2024-07,6,85.81193289398914,75.2623020555011,95.37298206337383,91.2257476203637,76.31183777495178,93.3592986696746,91.23533756620552,81.76980010915248,97.86729427228967,
SmolLM2-1.7B [Pretrained (PT)],SmolLM,SmolLM2,1.71,2024-10,6,95.21487506744806,90.32629813658096,101.85528484281727,99.1039982879941,97.74331691427268,104.65559896243492,98.77812387928002,96.69322329493288,103.54962424266527,
SmolLM2-1.7B-Instruct [Instruct/chat],SmolLM,SmolLM2,1.711,2024-10,6,107.48094201246926,98.17673079027655,113.29407598075107,109.79629531390326,101.97698963816136,114.46045332930159,108.84867829410109,100.67573852232968,113.3927030202897,
SmolLM2-135M [Pretrained (PT)],SmolLM,SmolLM2,0.135,2024-10,6,85.63678800247479,74.38846721393702,95.47500845668023,90.97975490626277,80.1296286804433,93.18788017506485,91.07541256625515,85.04402608994435,96.76113819286562,
SmolLM2-135M-Instruct [Instruct/chat],SmolLM,SmolLM2,0.135,2024-10,6,93.26728771198756,76.48349417446019,99.90733407198556,97.53243149485036,79.46746306802135,100.67967621761356,97.21006429534512,85.36482335152539,102.58683485293113,
SmolLM2-360M [Pretrained (PT)],SmolLM,SmolLM2,0.36,2024-10,6,88.66016244742958,80.85637112742606,96.44097784579931,93.5899155825574,83.37667211558971,95.04850093470232,93.49944322524296,88.86689595824177,99.35511375139583,
SmolLM2-360M-Instruct [Instruct/chat],SmolLM,SmolLM2,0.362,2024-10,6,97.90379122885975,74.6436784897003,105.21670831806536,101.57035386219862,73.40574929041354,106.26763507995851,101.00659929894186,83.8510698838137,106.87488392286129,
phi-1 [Pretrained (PT)],Phi,Phi-1,1.418,2023-09,6,87.57812596966494,77.10618040012594,96.49093686291468,92.726661562115,78.97960711910709,94.44356582567026,92.63240592571788,85.72683344517858,98.2222566231367,
phi-1_5 [Pretrained (PT)],Phi,Phi-1.5,1.418,2023-09,6,89.36484271297286,77.3224703385824,97.01984849297075,94.90493825368175,94.12816785831876,97.20279388738048,94.73026063657063,93.5988220009617,99.7172389507512,90.09
phi-2 [Pretrained (PT)],Phi,Phi-2,2.78,2023-12,6,106.05971043316478,96.73281131526187,110.87122476189268,106.78172148546264,100.49176684201598,113.75453885073969,106.17601551705134,100.76037490612838,112.84598220571026,106.91
phi-4 [Pretrained (PT)],Phi,Phi-4,14.66,2024-12,6,128.4160952129287,104.85290070656326,131.82202376310417,120.6571958969117,82.23887804776766,128.85696813973266,119.05202302309547,92.09939644481923,129.31891603178144,130.84
